Sales_ID,name,mileage,seats,car_num,engine
1,Maruti,23.4,5,31가4741,1248
2,Skoda,21.14,5,49후1248,1498
3,Honda,17.7,5,49고4049,1497
4,Hyundai,23,5,76나7789,1396
5,Maruti,16.1,5,81아9271,1298
6,Hyundai,20.14,5,99호2725,1197
7,Maruti,17.3,5,52마5451,1061
8,Maruti,16.1,4,57사9496,796
9,Toyota,23.59,5,70부5162,1364
10,Ford,20,5,57아5397,1399
11,Renault,19.01,5,93구2039,1461
12,Maruti,17.3,5,18주9018,993
13,Maruti,19.3,5,46노2997,1248
15,Maruti,18.9,5,14로8668,1061
16,Mahindra,18.15,5,67가4175,1198
17,Maruti,24.52,7,72후7366,1248
18,Hyundai,23,5,45고9286,1396
19,Maruti,19.7,5,69나5821,796
20,Hyundai,22.54,5,85아1440,1396
21,Mahindra,21,5,16호7451,1461
22,Honda,25.5,5,45마8595,1498
23,Maruti,26.59,5,66오1291,1248
24,Maruti,21.5,5,23부7838,1248
25,Tata,20.3,5,59아2362,1199
26,Maruti,21.4,5,45구1499,1197
27,Maruti,24.7,5,51주9093,796
28,Chevrolet,18.2,7,59노5202,1248
29,Maruti,18.9,5,27로7638,1061
30,Maruti,16.8,8,90가3174,796
31,Maruti,24.3,5,61후3763,1248
33,Maruti,14,5,22고6843,796
34,Hyundai,18.6,5,85나8861,1197
35,Maruti,24.3,5,59아7252,1248
36,Maruti,33.44,4,61호3628,796
37,Maruti,23.95,5,38마3967,998
38,Hyundai,17,5,51미1786,1591
39,Datsun,20.63,5,69부6965,1198
40,Tata,13.93,7,23아5705,2179
41,Maruti,16.1,4,94구3035,796
42,Jeep,16,5,26주9358,1368
43,Honda,17.8,5,80노8520,1497
44,Honda,16.8,5,59로8545,1497
45,Maruti,18.5,5,59가4484,1197
46,Maruti,24.3,5,45후4859,1248
47,Maruti,23.95,5,73고5802,998
48,Toyota,12.55,7,51나5723,2982
49,Toyota,12.99,7,32아2413,2494
50,Mercedes,14.8,5,17호8142,2143
51,Honda,24.7,5,84마6023,1498
52,Mitsubishi,13.5,7,86신6600,2477
53,Honda,26,5,14부1503,1498
54,Maruti,20.65,5,77아9808,1462
55,Honda,27.3,5,31구8759,1498
56,Toyota,11.36,7,44주1943,2755
57,Toyota,12.99,7,33노6650,2494
58,Audi,17.68,5,48로5727,1968
59,Toyota,14.28,5,94가7685,1798
60,Audi,18.53,5,28후8027,1968
61,Mercedes,14.84,5,36고4914,2143
62,Tata,21.12,5,86나5154,1248
63,Hyundai,20.36,5,86아3964,1197
64,Hyundai,21.27,5,95호3213,1396
65,Maruti,26.59,5,56마9486,1248
66,Ford,18.16,5,64유8728,1196
67,Maruti,21.4,5,84부7060,1197
68,Volkswagen,22,5,53아9392,1498
69,Honda,25.1,5,20구1451,1498
70,Maruti,20.51,5,36주6196,998
71,Volkswagen,21.66,5,74노9832,1498
72,Maruti,24.3,5,69로5653,1248
73,Maruti,24.3,5,15가3057,1248
74,Hyundai,20.36,5,42후3302,1197
75,Maruti,25.2,5,41고4028,1248
76,Toyota,12.55,7,69나1667,2982
77,Maruti,22.9,5,95아7906,1248
78,Maruti,16.02,7,25호4274,1373
80,Volkswagen,20.54,5,73마2942,1598
81,Toyota,12.99,8,48술5341,2494
82,Ford,22.77,5,19부4181,1498
83,BMW,15.71,5,52아2588,1998
84,Maruti,23.1,5,42구3267,998
85,Datsun,19.02,5,72주4269,1198
86,Maruti,24.7,5,46노8595,796
87,Maruti,24.7,5,60로5461,796
89,Hyundai,19.81,5,83가2825,1086
90,Maruti,14,5,64후8394,796
91,Maruti,26.2,5,44고6505,998
92,Volkswagen,16.47,5,94나4428,1198
93,Hyundai,19.81,5,75아2358,1086
94,Volkswagen,15.04,5,51호5775,1598
95,Maruti,18.2,5,32마9786,998
96,Hyundai,18.5,5,44해6166,1197
97,Maruti,26.59,5,60부2079,1248
98,Hyundai,19.1,5,63아7793,1197
99,Maruti,19.7,5,60구2425,796
100,Hyundai,22.54,5,19주8402,1396
101,Maruti,21.79,5,93노6897,998
102,Tata,18.8,5,68로8899,1248
103,Maruti,21.21,5,50가1323,1197
104,Maruti,15.37,7,87후7500,1196
105,Maruti,21.4,5,13고7658,1197
106,Mahindra,11.79,8,19나9813,2179
107,Ford,19,5,92아4514,1194
108,Hyundai,17,5,65호2851,1591
109,Volkswagen,14.3,5,21마2340,1798
110,Tata,15.8,5,12자2744,1172
111,Mahindra,15.1,7,61부4211,2179
112,Tata,19.09,5,88아8377,1405
113,Hyundai,22.32,5,31구4597,1582
114,Hyundai,21.9,5,55주4119,1396
115,Toyota,14.53,5,30노8520,1798
116,Maruti,21.63,5,33로3269,998
117,Maruti,24.3,5,30가1005,1248
118,Maruti,20.85,5,19후1916,1197
119,Maruti,20.51,5,35고8818,998
121,Nissan,20.45,5,21나8126,1461
122,Hyundai,19.67,5,70아7739,1582
123,Ford,23,5,15호6245,1498
124,Maruti,19.3,5,38마3214,1248
125,Renault,23.01,5,42축8603,999
126,Maruti,23.1,5,72부4468,998
127,Maruti,19.7,5,41아8380,796
128,Maruti,20.77,7,15구3118,1248
129,Hyundai,17.92,5,12주8827,1086
130,Maruti,20.77,7,17노2059,1248
131,Honda,17.8,5,95로7520,1198
132,Audi,17.01,5,40가6648,1968
133,Lexus,22.37,5,90후5784,2487
134,Jaguar,19.33,5,74고8273,1999
135,Jeep,9.5,5,19나7480,3604
136,Land,12.83,7,17아5689,1999
137,Mercedes,13.5,5,11호4346,2987
138,BMW,22.48,5,97마2122,1995
140,BMW,16.78,5,69인1875,1995
141,Skoda,14.67,5,68부2140,1798
142,Mercedes,15,5,23아3332,2143
143,MG,13.96,5,96구5455,1451
144,Honda,18,5,13주6829,1497
145,Toyota,14.28,5,42노4088,1798
146,Volvo,18,5,18로9280,1969
147,Audi,12.07,7,29가8614,2967
148,Maruti,26.21,5,24후5902,1248
149,Mercedes,13.5,5,84고6690,2987
150,BMW,10.8,5,33나3986,2497
151,Hyundai,16.3,5,21아3782,1797
152,Jaguar,13.6,5,29호2126,1999
153,Tata,17,5,10마7960,1198
154,Volkswagen,15.04,5,18묘5422,1598
155,Hyundai,16.3,5,10부5151,1797
156,Skoda,14.3,5,10아6519,1598
157,Mercedes,15.04,5,42구6089,1991
158,Maruti,16.02,7,79주6850,1373
159,Mercedes,14.74,5,27노1456,1991
160,Honda,15.6,5,36로4545,1497
161,Toyota,19.56,5,14가3334,1197
162,Maruti,23.95,5,59후3319,998
163,Maruti,21.21,5,80고6046,1197
164,Toyota,11.36,7,28나8487,2755
165,Tata,21.5,5,56아4798,1497
166,BMW,22.69,5,68호7988,1995
167,Toyota,19.16,5,45마2691,2494
168,BMW,18.12,5,36진7319,1995
169,Toyota,12.1,5,18부7982,2362
170,Maruti,17.5,7,31아6260,1373
171,Volvo,42,4,84구5718,1969
172,Volkswagen,20.54,5,54주9842,1598
173,Ford,18.16,5,50노3385,1196
174,Ford,20,5,10로3059,1399
175,Maruti,20.4,5,79가9008,1197
176,Maruti,20.51,5,25후1038,998
177,Hyundai,18.6,5,51고1021,1197
178,Maruti,16.1,4,31나6328,796
179,Maruti,21.1,5,68아5877,1248
180,Hyundai,18.9,5,24호9250,1197
181,Volkswagen,19.44,5,93마6587,999
182,Hyundai,18.9,5,63사7832,1197
183,Maruti,19.1,5,67부9003,1197
184,Hyundai,19.1,5,33아1728,1197
185,Honda,13,5,64구1279,1493
186,Toyota,21.43,5,75주9437,1364
187,Daewoo,18.5,5,41노6694,796
188,Toyota,13,7,12로7675,2982
189,Mahindra,18.15,6,88가1200,1198
190,Tata,22.95,5,34후8421,1248
191,Honda,17,5,86고6901,1497
192,Maruti,17.3,5,58나6169,993
193,Maruti,18.9,5,62아4607,998
194,Hyundai,16.2,5,42호6279,1599
195,Maruti,20.85,5,92마3209,1197
196,Hyundai,15.3,5,37오9883,1341
197,Hyundai,18.6,5,50부3133,1197
198,Maruti,28.09,5,59아5642,1248
199,Tata,20.3,5,97구7776,1199
200,Maruti,20.77,7,17주6233,1248
202,Honda,17.4,5,99노7025,1497
203,Honda,19.4,5,57로4323,1198
204,Maruti,26.6,5,26가4017,998
205,Maruti,20.85,5,61후1234,1197
206,Hyundai,18.5,5,84고5504,1197
208,Maruti,20.51,5,66나4668,998
209,Maruti,21.21,5,20아8406,1197
210,Maruti,24.7,5,31호6843,796
211,Maruti,22,5,18마8127,1197
212,Maruti,20.4,5,19미2296,1197
213,Tata,17.6,7,82부5050,2179
214,Hyundai,18.5,5,61아8149,1197
215,Maruti,28.4,5,76구7998,1248
216,Maruti,20.51,5,29주5688,998
217,Toyota,14.53,5,39노1771,1794
218,Honda,19.4,5,59로1138,1198
219,Maruti,21.4,5,79가5608,1197
220,Tata,14.1,7,98후6625,2179
221,Maruti,19.7,5,71고6736,796
222,Renault,25.17,5,64나5708,799
223,Datsun,20.63,5,54아2006,1198
